BTER/BTSXUSD,BTSX/USD Exchange Rate
BTER/DRKUSD,DRK/USD Exchange Rate
BTER/XCNBTC,XCN/BTC Exchange Rate
BTER/ZECBTC,ZEC/BTC Exchange Rate
BTER/LTCCNY,LTC/CNY Exchange Rate
BTER/NMCBTC,NMC/BTC Exchange Rate
BTER/XCPBTC,XCP/BTC Exchange Rate
BTER/NXTCNY,NXT/CNY Exchange Rate
BTER/REPCNY,REP/CNY Exchange Rate
BTER/TIXCNY,TIX/CNY Exchange Rate
BTER/DASHBTC,DASH/BTC Exchange Rate
BTER/FRSHBTC,FRSH/BTC Exchange Rate
BTER/TIPSLTC,TIPS/LTC Exchange Rate
BTER/XCPCNY,XCP/CNY Exchange Rate
BTER/DASHCNY,DASH/CNY Exchange Rate
BTER/ETCCNY,ETC/CNY Exchange Rate
BTER/FTCBTC,FTC/BTC Exchange Rate
BTER/PPCBTC,PPC/BTC Exchange Rate
BTER/ETCBTC,ETC/BTC Exchange Rate
BTER/XEMBTC,XEM/BTC Exchange Rate
BTER/ZECCNY,ZEC/CNY Exchange Rate
BTER/XCPNXT,XCP/NXT Exchange Rate
BTER/CNCCNY,CNC/CNY Exchange Rate
BTER/ETHCNY,ETH/CNY Exchange Rate
BTER/TIPSCNY,TIPS/CNY Exchange Rate
BTER/SHELLCNY,SHELL/CNY Exchange Rate
BTER/BTSCNY,BTS/CNY Exchange Rate
BTER/HKGBTC,HKG/BTC Exchange Rate
BTER/BTSNXT,BTS/NXT Exchange Rate
BTER/PPCCNY,PPC/CNY Exchange Rate
BTER/BTSBTC,BTS/BTC Exchange Rate
BTER/QTUMETH,QTUM/ETH Exchange Rate
BTER/DOGECNY,DOGE/CNY Exchange Rate
BTER/DOGEBTC,DOGE/BTC Exchange Rate
BTER/BTCCNY,BTC/CNY Exchange Rate
BTER/XPMCNY,XPM/CNY Exchange Rate
BTER/FTCCNY,FTC/CNY Exchange Rate
BTER/NXTBTC,NXT/BTC Exchange Rate
BTER/XMRBTC,XMR/BTC Exchange Rate
BTER/MGBTC,MG/BTC Exchange Rate
BTER/DRKCNY,DRK/CNY Exchange Rate
BTER/XTCCNY,XTC/CNY Exchange Rate
BTER/CNCBTC,CNC/BTC Exchange Rate
BTER/BTRXBTC,BTRX/BTC Exchange Rate
BTER/NMCCNY,NMC/CNY Exchange Rate
BTER/XTCBTC,XTC/BTC Exchange Rate
BTER/CRSALEBTC,CRSALE/BTC Exchange Rate
BTER/BCNXT,BC/NXT Exchange Rate
BTER/BCBTC,BC/BTC Exchange Rate
BTER/IFCCNY,IFC/CNY Exchange Rate
BTER/BTSXNXT,BTSX/NXT Exchange Rate
BTER/BAYBTC,BAY/BTC Exchange Rate
BTER/SNTTKNBTC,SNTTKN/BTC Exchange Rate
BTER/BTSXBTC,BTSX/BTC Exchange Rate
BTER/BTSXCNY,BTSX/CNY Exchange Rate
BTER/BCCNY,BC/CNY Exchange Rate
BTER/QTUMBTC,QTUM/BTC Exchange Rate
BTER/DRKBTC,DRK/BTC Exchange Rate
BTER/DAOBTC,DAO/BTC Exchange Rate
BTER/DAOCNY,DAO/CNY Exchange Rate
BTER/DTCCNY,DTC/CNY Exchange Rate
BTER/BTCBITUSD,BTC/BITUSD Exchange Rate
BTER/PTSBTC,PTS/BTC Exchange Rate
BTER/YACBTC,YAC/BTC Exchange Rate
BTER/LTSBTC,LTS/BTC Exchange Rate
BTER/ARCHBTC,ARCH/BTC Exchange Rate
BTER/VRCCNY,VRC/CNY Exchange Rate
BTER/NBTCNY,NBT/CNY Exchange Rate
BTER/NXTUSD,NXT/USD Exchange Rate
BTER/ZETBTC,ZET/BTC Exchange Rate
BTER/TBCBTC,TBC/BTC Exchange Rate
BTER/FRCBTC,FRC/BTC Exchange Rate
BTER/QRKCNY,QRK/CNY Exchange Rate
BTER/XCPUSD,XCP/USD Exchange Rate
BTER/DICENXT,DICE/NXT Exchange Rate
BTER/VIABTC,VIA/BTC Exchange Rate
BTER/ATOMICBTC,ATOMIC/BTC Exchange Rate
BTER/WDCBTC,WDC/BTC Exchange Rate
BTER/BLKCNY,BLK/CNY Exchange Rate
BTER/NETLTC,NET/LTC Exchange Rate
BTER/PTSCNY,PTS/CNY Exchange Rate
BTER/TOKENBTCD,TOKEN/BTCD Exchange Rate
BTER/NBTBTC,NBT/BTC Exchange Rate
BTER/C2BTC,C2/BTC Exchange Rate
BTER/TAGBTC,TAG/BTC Exchange Rate
BTER/ZCCBTC,ZCC/BTC Exchange Rate
BTER/QRKBTC,QRK/BTC Exchange Rate
BTER/SRCBTC,SRC/BTC Exchange Rate
BTER/BTQCNY,BTQ/CNY Exchange Rate
BTER/SFRBTC,SFR/BTC Exchange Rate
BTER/VTCBTC,VTC/BTC Exchange Rate
BTER/DICEBTC,DICE/BTC Exchange Rate
BTER/NASBTC,NAS/BTC Exchange Rate
BTER/DVCLTC,DVC/LTC Exchange Rate
BTER/NXTTYBTC,NXTTY/BTC Exchange Rate
BTER/NTXBTC,NTX/BTC Exchange Rate
BTER/ZCCCNY,ZCC/CNY Exchange Rate
BTER/UNITYNXT,UNITY/NXT Exchange Rate
BTER/TAGCNY,TAG/CNY Exchange Rate
BTER/XPMBTC,XPM/BTC Exchange Rate
BTER/COMMBTC,COMM/BTC Exchange Rate
BTER/EXCCNY,EXC/CNY Exchange Rate
BTER/REDLTC,RED/LTC Exchange Rate
BTER/MINTCNY,MINT/CNY Exchange Rate
BTER/TOKENNXT,TOKEN/NXT Exchange Rate
BTER/CENTLTC,CENT/LTC Exchange Rate
BTER/UNITYCNY,UNITY/CNY Exchange Rate
BTER/MECCNY,MEC/CNY Exchange Rate
BTER/DGCCNY,DGC/CNY Exchange Rate
BTER/GMLBTC,GML/BTC Exchange Rate
BTER/SWIFTBTC,SWIFT/BTC Exchange Rate
BTER/TBCCNY,TBC/CNY Exchange Rate
BTER/ZETCNY,ZET/CNY Exchange Rate
BTER/MMCCNY,MMC/CNY Exchange Rate
BTER/BTCUSD,BTC/USD Exchange Rate
BTER/DNSBTC,DNS/BTC Exchange Rate
BTER/BBRBTC,BBR/BTC Exchange Rate
BTER/NETBTC,NET/BTC Exchange Rate
BTER/MINTBTC,MINT/BTC Exchange Rate
BTER/XCBTC,XC/BTC Exchange Rate
BTER/BTCDNXT,BTCD/NXT Exchange Rate
BTER/ETCETH,ETC/ETH Exchange Rate
BTER/MAXCNY,MAX/CNY Exchange Rate
BTER/XCHBTC,XCH/BTC Exchange Rate
BTER/MAXBTC,MAX/BTC Exchange Rate
BTER/LTCUSD,LTC/USD Exchange Rate
BTER/ROXBTC,ROX/BTC Exchange Rate
BTER/QORABTC,QORA/BTC Exchange Rate
